Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed ,net new confirmed moving average,medical power
japan,2020-01-20,1,0,0,1,0,0,1,,1
japan,2020-01-21,0,0,0,1,0,0,0,,1
japan,2020-01-22,0,0,0,1,0,0,0,,1
japan,2020-01-23,0,0,0,1,0,0,0,,1
japan,2020-01-24,1,0,0,2,0,0,1,0.4,1
japan,2020-01-25,0,0,0,2,0,0,0,0.2,1
japan,2020-01-26,1,0,0,3,0,0,1,0.4,1
japan,2020-01-27,1,0,0,4,0,0,1,0.6,1
japan,2020-01-28,2,0,0,6,0,0,2,1,1
japan,2020-01-29,0,0,0,6,0,0,0,0.8,1
japan,2020-01-30,3,0,0,9,0,0,3,1.4,1
japan,2020-01-31,5,0,0,14,0,0,5,2.2,1
japan,2020-02-01,3,0,0,17,0,0,3,2.6,1
japan,2020-02-02,3,0,0,20,0,0,3,2.8,1
japan,2020-02-03,0,0,0,20,0,0,0,2.8,1
japan,2020-02-04,0,0,0,20,0,0,0,2.2,1
japan,2020-02-05,13,0,0,33,0,0,13,3.8,1
japan,2020-02-06,12,0,0,45,0,0,12,5.6,1
japan,2020-02-07,41,0,0,86,0,0,41,13.2,1
japan,2020-02-08,3,0,0,89,0,0,3,13.8,1
japan,2020-02-09,0,0,0,89,0,0,0,13.8,1
japan,2020-02-10,72,0,0,161,0,0,72,25.6,1
japan,2020-02-11,2,0,8,163,0,0,-6,22,0.012345679
japan,2020-02-12,39,0,0,202,0,0,39,21.6,1
japan,2020-02-13,45,1,1,247,1,0.004048583,44,29.8,1
japan,2020-02-14,12,0,1,259,1,0.003861004,11,32,0.090909091
japan,2020-02-15,78,0,1,337,1,0.002967359,77,33,0.090909091
japan,2020-02-16,77,0,0,414,1,0.002415459,77,49.6,1
japan,2020-02-17,106,0,1,520,1,0.001923077,105,62.8,0.090909091
japan,2020-02-18,96,0,0,616,1,0.001623377,96,73.2,1
japan,2020-02-19,89,0,7,705,1,0.00141844,82,87.4,0.014084507
japan,2020-02-20,23,2,2,728,3,0.004120879,21,76.2,1
japan,2020-02-21,15,0,0,743,3,0.004037685,15,63.8,1
japan,2020-02-22,26,0,1,769,3,0.00390117,25,47.8,0.090909091
japan,2020-02-23,69,1,1,838,4,0.00477327,68,42.2,1
japan,2020-02-24,13,0,0,851,4,0.004700353,13,28.4,1
japan,2020-02-25,11,2,8,862,6,0.006960557,3,24.8,0.259259259
japan,2020-02-26,32,1,0,894,7,0.007829978,32,28.2,11
japan,2020-02-27,25,1,9,919,8,0.008705114,16,26.4,0.120879121
japan,2020-02-28,19,3,0,938,11,0.011727079,19,16.6,31
japan,2020-02-29,9,0,1,947,11,0.011615628,8,15.6,0.090909091
japan,2020-03-01,14,1,0,961,12,0.012486993,14,17.8,11
japan,2020-03-02,19,0,1,980,12,0.012244898,18,15,0.090909091
japan,2020-03-03,19,0,3,999,12,0.012012012,16,15,0.032258065
japan,2020-03-04,36,0,183,1035,12,0.011594203,-147,-18.2,0.00054615
japan,2020-03-05,21,0,19,1056,12,0.011363636,2,-19.4,0.005235602
japan,2020-03-06,57,0,63,1113,12,0.010781671,-6,-23.4,0.001584786
japan,2020-03-07,44,1,10,1157,13,0.011235955,34,-20.2,0.108910891
japan,2020-03-08,33,2,4,1190,15,0.012605042,29,-17.6,0.512195122
japan,2020-03-09,29,1,21,1219,16,0.013125513,8,13.4,0.052132701
japan,2020-03-10,59,3,81,1278,19,0.01486698,-22,8.6,0.038224414
japan,2020-03-11,53,3,48,1331,22,0.016528926,5,10.8,0.064449064
japan,2020-03-12,57,4,36,1388,26,0.018731988,21,8.2,0.113573407
japan,2020-03-13,35,2,14,1423,28,0.019676739,21,6.6,0.14893617
japan,2020-03-14,62,1,75,1485,29,0.01952862,-13,2.4,0.014647137
japan,2020-03-15,46,2,15,1531,31,0.020248204,31,13,0.139072848
